CHAIN,SENDER,ASSETS
zkevm,0xcc2A1feA3C4d374FeFA1Ab3F601107E141Ed3514,0.175477
zkevm,0xd1dEEB313991dC81CA172f5C9e463d3DE1C3875f,0.983943
zkevm,0x76E059C6FF6bf9FFFD5f33AFdf4AB2FD511C9DF4,0.1
zkevm,0x90811C6839f1a792104B9eD1c54290ba1dD60D98,2.938197
zkevm,0x32582bf048c8d04ef7Ed8b5DE78B21562c62B448,0.1
zkevm,0xdC49838921C8690e1eBFb4f17568caF7B1Ad566C,3.165071
zkevm,0x42f36d45381e3f5D9443E872b6192aaf0DB55b53,7.047662
zkevm,0x075362B50E2a7078E99c037986Ef2419EDA154D0,0.01
zkevm,0xBd9208BF4CB887faB745D7029De0a130a62BF1bD,4.960424
zkevm,0x6F4109bF65c9f896A43A11F00E65bF5Cc75C9bcb,0.1
zkevm,0x7910788C99EFa33BD3d37A245061588AA32f3Ee6,0.1
zkevm,0x020B0D4c844E0dBcA51C9AB779DF0191978c0359,1.0
zkevm,0xCcC522dcddCDa0F5D1158a820A5931cBf35b126d,1.0
zkevm,0xffB1ae28E3063A0b1006848766c13a8081b3a66D,0.225024
zkevm,0x15b459D696D812591bCc1Acf37e4B5f11bA6F2a9,0.1
zkevm,0xccb59210dfd52965cbc43A40905d582E458eCb8b,1.0
zkevm,0x80b645Fb98cC3037816305A07bAB870e58091E74,9.497677
zkevm,0xdD65C5E9d1D4124A4730A9BaD9BA5784F9B1d1EC,1.0
zkevm,0x67D645828C55BEb21513efCC753Df032b31fB507,24.91461
zkevm,0xa54D6FD8143Af647F49D57f98db806376040868a,2.294642
zkevm,0x1AFe8A03214Bf47300c2b3B7918ffDa98Fb359C8,0.1
zkevm,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,800.0
zkevm,0xEF125E49fB1a1BC5F8025b364Ca5486368ff87a9,0.001
zkevm,0xA9Cb3E58056e9B350C7Ef649A3df0f1cc94EeeE7,4.946391
zkevm,0x9EfF5B715d0E2C0ecDacB029C742dD516A751213,1.0
zkevm,0xcC6cEaF8C8A3E55Da475Dd043A846520676Fc7E9,2.478003
zkevm,0x4475e2a824a1e38D17A5dce389B9aB5dF3de186f,0.1
zkevm,0x228a131932C1c5F37f8a957AEec97BAC0CE5470E,1.0
zkevm,0xFe8Df8abCb7b18011bEA370866B524E90C34690C,0.01
zkevm,0x0C610Dc0321d77Fb25a155eC3BFb0BA5b028EF78,0.1
zkevm,0x9a1e602F2741EeDC6dBaF5025530c6dcFB5C7cb6,4.743363
zkevm,0x76E6089EC703E9629A13b7adFB2921c27F8228a5,2.0
zkevm,0x79Bdda65C706CBdA69C0AD4C8da1d3e91724f48D,1.0
zkevm,0x83bbe9CFCc205bb8E53cBa0b51d6db9386CE58B5,1.0
zkevm,0xD6706f0CC8522326142A645588B554F9378a0AD6,0.1
zkevm,0x57633232818Ad46e9582Ed333eB5e797909398aa,0.01
zkevm,0x46362F584Df307fC5a4CBe4C55e20be7B389F9DF,110.591112
